max_array_rank,array_refs1,stmts,array_refs0,dbl_array_refs0,dbl_array_refs1,dbl_array_refs2,max_loop_depth,array_refs2,max_loop_level,ops,max_mergeable_arrays,lines_of_code,max_fusible_loops,fp_ops,branches,calls,bf2,bf1,bf0,indirect_array_refs2,indirect_array_refs1,indirect_array_refs0,judgment_M,proj,ver,path,sub,lnum,digest,nid,root_file
3,3,4,10,10,3,3,2,3,3,5,6,6,1,7,0,2,3.4285714626312255859,3.4285714626312255859,11.428571701049804688,0,0,0,M5,CM1_git,fc4db52,src/bc.F,restrict_openbc_we,2297,MD5_9730d2d06df3e30e012f2d36cdcbae7c,4834,src/cm1.F
2,3,7,4,4,3,3,2,3,5,8,2,8,1,4,0,3,6.0000000000000000000,6.0000000000000000000,8.000000000000000000,0,0,0,M5,coin_git,b377a3f,ThirdParty/lapack/TESTING/LIN/dlattb.f,dlattb,641,MD5_54ea17475baa373fe25aed83f26a69b4:MD5_9b398614ca182fc343bebe0fedcb7e12,55494,ThirdParty/lapack/TESTING/LIN/dchkaa.f
2,6,10,8,8,6,6,2,6,6,9,4,11,1,8,0,0,6.0000000000000000000,6.0000000000000000000,8.000000000000000000,0,0,0,M5,cp2k_git,e340926,potentials/Goedecker/pseudo/v2.3/sub_lapack.F,dlasr,2796,MD5_d5ed916c533cbaf8771e456fe16f57eb:MD5_ed66ebde7d99cc122781362f2682cc6e,5806,potentials/Goedecker/pseudo/v2.2/pseudo.f
2,4,3,6,6,4,4,2,4,1,7,8,7,1,7,0,1,4.5714287757873535156,4.5714287757873535156,6.857142925262451172,0,0,0,None,darksusy_ucmh_git,21aedbb,src/su/dsvertx3.f,dsvertx3,1098,MD5_188f5443fc8147346e07f1e62ab29f11,10758,misc2/carlos_fluxtest-mssm.f
2,5,12,12,12,5,5,2,5,1,21,4,20,2,21,1,0,1.9047619104385375977,1.9047619104385375977,4.571428775787353516,0,0,0,M5,DFPT-tetra_git,22abe7a,PW/src/vcsubs.f90,vcmove,823,MD5_1dc5a492bbe4295ad8f301b916fc25de:MD5_2bf2142715719d4c7ca72f85e95faeee,47686,PW/src/manypw.f90
2,8,9,9,9,8,8,3,8,0,18,4,24,1,30,0,8,2.1333334445953369141,2.1333334445953369141,2.400000095367431641,0,0,0,M5,DOS_git,2a96991,dos_kpt/dos_kpt_fixed.f90,?,91,MD5_4395b9f4519c81e3e0beefc5992c2d09,26,dos_kpt/dos_kpt_fixed.f90
1,6,8,16,16,6,5,3,5,3,14,4,13,2,8,1,0,5.0000000000000000000,6.0000000000000000000,16.000000000000000000,0,0,0,M5,ED2_Erelax_git,206f380,BRAMS/src/turb/rgrad.f90,gradxu,376,MD5_7cdfc2d408a45b90a108f0fddb90b0a6,11969,BRAMS/src/core/rammain.f90
3,7,4,7,7,7,7,3,7,2,6,10,9,1,5,0,0,11.1999998092651367188,11.1999998092651367188,11.199999809265136719,0,0,0,M5,ED2_git,8ae79fd,BRAMS/src/turb/turb_diff.f90,diffvel,247,MD5_00e693fe373643a27bf58c369af57711:MD5_c39cb5cb574b7a977390ed0f6d24d9ef,12491,BRAMS/src/core/rammain.F90
2,6,10,8,8,6,3,2,3,5,10,4,11,1,8,0,0,3.0000000000000000000,6.0000000000000000000,8.000000000000000000,0,0,0,M5,elk_git,610ccd4,src/LAPACK/zlasr.f,zlasr,281,MD5_d9037da68a05c38d7e736ab7da0fc7ea:MD5_ebb902f835f4389fac3d93a25a887408,6877,src/main.f90
5,9,14,18,18,9,9,2,9,10,22,2,16,1,22,0,0,3.2727272510528564453,3.2727272510528564453,6.545454502105712891,0,0,0,None,elk_git,610ccd4,src/fftlib/cfftnd.f90,cmf3kf,1123,MD5_c8dd2e15fb60938b96f15df305289afc,11388,src/main.f90
3,2,5,6,6,2,2,2,2,0,6,4,7,1,25,0,4,0.6399999856948852539,0.6399999856948852539,1.919999957084655762,0,0,0,None,espresso-4.0.3_git,2e70494,W90/src/hamiltonian.F90,hamiltonian_get_hr,261,MD5_3fe261cc3a0e6a32b59d81e93eee9050,20892,W90/src/wannier_prog.F90
2,3,10,8,8,3,3,2,3,9,9,4,11,1,8,0,0,3.0000000000000000000,3.0000000000000000000,8.000000000000000000,0,0,0,M5,espresso-4.0.3_git,2e70494,flib/lapack_atlas.f,zlasr,10979,MD5_3443fef08aa56958c6ecae388382c721:MD5_75b31b2b2df760421adea52e34536c08,38645,Gamma/phcg.f90
