max_array_rank,array_refs1,stmts,array_refs0,dbl_array_refs0,dbl_array_refs1,dbl_array_refs2,max_loop_depth,array_refs2,max_loop_level,ops,max_mergeable_arrays,lines_of_code,max_fusible_loops,fp_ops,branches,calls,bf2,bf1,bf0,indirect_array_refs2,indirect_array_refs1,indirect_array_refs0,judgment_M,proj,ver,path,sub,lnum,digest,nid,root_file
2,3,2,4,4,3,3,1,3,0,1,1,1,0,1,0,0,24.0000000000000000000,24.0000000000000000000,32.000000000000000000,0,0,0,NonKernel,dissertaion_phd_tamu_git,5c1d609,chap_4_structural_analyses/afc_unit_cell/wxp_different_frequencies/1540214.login006.sc.cluster.tamu/src/femgeometry.f90,afc_boundary_full_electrode,2614,MD5_7c33b6439d3c84d3f7c09d6337c7b5df,685,chap_4_structural_analyses/afc_unit_cell/linear_hysteris_time_shift_afc/Elec_Mech_FEM/examples/afc/driver/elec_mech_fem.f90
2,1,2,3,3,1,1,1,1,0,0,1,1,0,1,0,1,8.0000000000000000000,8.0000000000000000000,24.000000000000000000,0,0,0,NonKernel,dissertaion_phd_tamu_git,5c1d609,chap_4_structural_analyses/pvdf_folding_beam/src/femgeometry.f90,crawley_boundary,893,MD5_17be9aa22f67723f54aaa1570b656ac4,1439,chap_5_active_trusses/codes_linear_tetra_hedral_truss/Elec_Mech_FEM/driver_back_ups/elec_mech_fem_cube.f90
2,8,9,9,9,8,8,3,8,0,18,4,24,1,30,0,8,2.1333334445953369141,2.1333334445953369141,2.400000095367431641,0,0,0,Kernel,DOS_git,2a96991,dos_kpt/dos_kpt_fixed.f90,?,91,MD5_4395b9f4519c81e3e0beefc5992c2d09,26,dos_kpt/dos_kpt_fixed.f90
2,3,2,3,3,3,3,1,3,0,1,2,3,0,1,0,0,24.0000000000000000000,24.0000000000000000000,24.000000000000000000,0,0,0,NonKernel,ecalj_git,b163165,fpgw/main/hx0fp0.sc.m.F,?,408,MD5_121dd1d57ba3ed3e156d1cebaf537a20,40394,fpgw/main/hx0fp0.sc.m.F
1,6,8,16,16,6,5,3,5,3,14,4,13,2,8,1,0,5.0000000000000000000,6.0000000000000000000,16.000000000000000000,0,0,0,Kernel,ED2_Erelax_git,206f380,BRAMS/src/turb/rgrad.f90,gradxu,376,MD5_7cdfc2d408a45b90a108f0fddb90b0a6,11969,BRAMS/src/core/rammain.f90
3,7,20,50,50,7,7,3,7,1,27,10,60,5,26,0,2,2.1538462638854980469,2.1538462638854980469,15.384614944458007812,3,3,4,NonKernel,ED2_git,8ae79fd,BRAMS/src/isan/refstate.f90,varfile_refstate,300,MD5_350bbbd198e292a6085a9b29762a99ca,5384,BRAMS/src/core/rammain.F90
3,7,4,7,7,7,7,3,7,2,6,10,9,1,5,0,0,11.1999998092651367188,11.1999998092651367188,11.199999809265136719,0,0,0,Kernel,ED2_git,8ae79fd,BRAMS/src/turb/turb_diff.f90,diffvel,247,MD5_00e693fe373643a27bf58c369af57711:MD5_c39cb5cb574b7a977390ed0f6d24d9ef,12491,BRAMS/src/core/rammain.F90
2,6,10,8,8,6,3,2,3,5,10,4,11,1,8,0,0,3.0000000000000000000,6.0000000000000000000,8.000000000000000000,0,0,0,Kernel,elk_git,610ccd4,src/LAPACK/zlasr.f,zlasr,281,MD5_d9037da68a05c38d7e736ab7da0fc7ea:MD5_ebb902f835f4389fac3d93a25a887408,6877,src/main.f90
5,9,14,18,18,9,9,2,9,10,22,2,16,1,22,0,0,3.2727272510528564453,3.2727272510528564453,6.545454502105712891,0,0,0,Kernel,elk_git,610ccd4,src/fftlib/cfftnd.f90,cmf3kf,1123,MD5_c8dd2e15fb60938b96f15df305289afc,11388,src/main.f90
3,2,5,6,6,2,2,2,2,0,6,4,7,1,25,0,4,0.6399999856948852539,0.6399999856948852539,1.919999957084655762,0,0,0,Kernel,espresso-4.0.3_git,2e70494,W90/src/hamiltonian.F90,hamiltonian_get_hr,261,MD5_3fe261cc3a0e6a32b59d81e93eee9050,20892,W90/src/wannier_prog.F90
